"Airport.Code","Airport.Name","Time.Label","Month","Time.Month Name","Time.Year","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2003/06","6","June","2003","1009","1275","3217","17","328","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","216","5843","27","23974","30060","61606","68335","118831","518","268764","19474"
"BOS","Boston, MA: Logan International","2003/06","6","June","2003","374","495","685","3","66","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","14","138","1623","3","7875","9639","20319","28189","24400","99","77167","4160"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2003/06","6","June","2003","296","477","389","8","78","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","29","1245","15","6998","8287","13635","26810","17556","278","64480","6201"
"CLT","Charlotte, NC: Charlotte Douglas International","2003/06","6","June","2003","300","472","735","2","54","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","73","1562","14","7021","8670","14763","23379","23804","127","65865","3792"
"DCA","Washington, DC: Ronald Reagan Washington National","2003/06","6","June","2003","283","268","487","4","58","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","74","1100","18","5321","6513","13775","13712","20999","120","52747","4141"
"DEN","Denver, CO: Denver International","2003/06","6","June","2003","516","323","664","11","98","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","34","1611","22","10024","11691","26634","18969","23538","706","75428","5581"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2003/06","6","June","2003","986","1390","2147","19","258","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","394","4798","133","22303","27628","70918","80714","90574","683","263521","20632"
"DTW","Detroit, MI: Detroit Metro Wayne County","2003/06","6","June","2003","376","371","570","6","71","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","123","1395","9","10227","11754","21802","18715","16482","139","60667","3529"
"EWR","Newark, NJ: Newark Liberty International","2003/06","6","June","2003","322","519","1948","10","121","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","13","102","2921","42","9441","12506","20190","30905","91048","490","150513","7880"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2003/06","6","June","2003","247","256","427","5","34","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","13","967","10","3672","4662","12547","14600","14935","141","44303","2080"
"IAD","Washington, DC: Washington Dulles International","2003/06","6","June","2003","320","295","573","3","66","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","13","101","1256","35","7027","8419","16754","18074","25807","182","65529","4712"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2003/06","6","June","2003","329","730","1405","15","123","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","91","2601","173","12686","15551","21782","43428","56414","577","134182","11981"
"JFK","New York, NY: John F. Kennedy International","2003/06","6","June","2003","376","226","394","21","28","American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.","11","24","1046","13","4695","5778","22029","11593","14103","659","50335","1951"
"LAS","Las Vegas, NV: McCarran International","2003/06","6","June","2003","511","678","624","17","64","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","39","1893","6","9821","11759","24293","31043","19561","808","79533","3828"
"LAX","Los Angeles, CA: Los Angeles International","2003/06","6","June","2003","830","765","842","37","97","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","101","2571","10","15780","18462","40089","39655","26162","2559","114434","5969"
"LGA","New York, NY: LaGuardia","2003/06","6","June","2003","302","338","867","4","94","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","121","1604","22","7161","8908","17384","18954","41007","191","82859","5323"
"MCO","Orlando, FL: Orlando International","2003/06","6","June","2003","368","434","535","3","48","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","9","1388","9","6211","7617","17707","26116","18073","56","65140","3188"
"MDW","Chicago, IL: Chicago Midway International","2003/06","6","June","2003","180","411","311","12","39","American Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,Southwest Airlines Co.","9","47","951","6","6057","7061","8535","20938","10702","331","42962","2456"
"MIA","Miami, FL: Miami International","2003/06","6","June","2003","247","210","585","2","66","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","28","1105","22","3745","4900","12609","12700","22976","66","52191","3840"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2003/06","6","June","2003","428","376","759","9","106","American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.","11","101","1678","11","10404","12194","27468","20994","23137","529","78259","6131"
"ORD","Chicago, IL: Chicago O'Hare International","2003/06","6","June","2003","801","982","2947","11","157","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Atlantic Coast Airlines,Delta Air Lines Inc.,Atlantic Southeast Airlines,America West Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.","12","261","4899","38","24997","30195","54296","55855","135851","604","257007","10401"
"PDX","Portland, OR: Portland International","2003/06","6","June","2003","193","248","213","11","22","American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,America West Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.","9","17","684","5","4040","4746","8260","11909","5943","505","27645","1028"
