Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,29.7,55,15.4,4.96,8.46,124,129,8.8,0.3438
2017-01-02 01:00:00,29.6,56,15.6,4.97,8.43,120,124,8.5,0.3954
2017-01-02 02:00:00,29.8,56,16.1,5.69,9.18,121,123,9.7,0.4471
2017-01-02 03:00:00,29.8,58,16.8,5.49,8.88,123,126,9.9,0.4988
2017-01-02 04:00:00,30.2,59,17.8,5.19,8.36,124,127,9.4,0.5504
2017-01-02 05:00:00,30.1,68,20.9,4.75,7.55,120,125,8.9,0.5731
2017-01-02 06:00:00,30.8,72,22.8,4.59,7.78,110,116,8.1,0.5668
2017-01-02 07:00:00,31.3,74,23.8,4.37,7.11,110,116,7.7,0.5605
2017-01-02 08:00:00,31.3,79,25.6,3.86,6.35,111,116,7.5,0.5542
2017-01-02 09:00:00,31.2,87,27.9,3.61,6.11,104,111,6.4,0.5479
2017-01-02 10:00:00,31.5,91,29.1,3.7,6.17,109,115,6.7,0.5415
2017-01-02 11:00:00,32.7,86,29.1,3.68,5.46,112,116,6.3,0.5352
2017-01-02 12:00:00,32.8,90,30.2,3.16,4.4,108,111,7.2,0.5289
2017-01-02 13:00:00,33.4,91,31.2,2.67,3.57,103,108,5.7,0.5226
2017-01-02 14:00:00,33.8,93,32.1,2.94,4.18,108,111,5.4,0.5163
2017-01-02 15:00:00,34.3,94,32.8,2.57,3.7,103,109,5.4,0.51
2017-01-02 16:00:00,34.2,96,33.3,2.38,3.91,68,87,4.7,0.5037
2017-01-02 17:00:00,33.6,98,33.2,1.92,3.35,39,63,4.1,0.4974
2017-01-02 18:00:00,33.5,98,33.1,2.06,3.45,14,30,3.3,0.4911
2017-01-02 19:00:00,33.4,98,32.9,1.9,3.4,360,14,3.5,0.4848
2017-01-02 20:00:00,33.2,98,32.7,2.86,4.71,335,343,4.5,0.4784
