Position,Location,Gender,Education,Experience (Years),Salary
QNXT Configuration QA/Testing SME,Ghaziabad,Female,B.Tech/B.E.,11,2014510
Provider Data Management,New Delhi,Female,B.Tech/B.E.,24,1624349
Accessibility Engineer QA,Noida,Female,BCA,25,1926223
Senior Software Engineer,Jalandhar,Male,NA,27,2403560
Java Developer/Spring Boot,Meerut,Male,B.A,11,1128404
iOS Tester,Padampur,Female,B.Com,15,2090495
GCP Cloud Architect,New Delhi,Male,B.Tech/B.E.,21,1399850
Technical Project Manager Remote,Pune,Male,BCA,8,881054
Provider Data Setup,Kannur,Female,BCA,20,1486474
iOS Tester,Gurugram,Female,B.Tech/B.E.,20,1981284
Technical Lead(Data ADF),Pune,Male,Diploma,7,694269
System Engineer,Hubli,Male,B.Com,24,2492390
Sr. Tableau or Power BI Developer,Kolkata,Female,Diploma,24,582995
Sr. Tableau or Power BI Developer,New Delhi,Male,BCA,16,1138897
Sr. Tableau or Power BI Developer,Gurugram,Male,B.Tech/B.E.,21,1663913
Sr. Tableau or Power BI Developer,Prayagraj,Female,BCA,15,1882207
Android Tester,Ghaziabad,Male,B.Sc,24,2137415
Sr. Data Ingestion/Analytics Engineer,Ranchi,Female,B.Tech/B.E.,15,1942468
Sr. Data Ingestion/Analytics Engineer,Bengaluru,Female,B.Sc,19,2377621
 Product Technical Specialist,Warangal,Female,B.Com,28,906029
 Product Technical Specialist,Pune,Male,B.Tech/B.E.,7,1952392
 Product Technical Specialist,Hyderabad,Male,B.Tech/B.E.,17,1268457
 Product Technical Specialist,Gurugram,Male,B.A,26,1554650
Data Architect,Bengaluru,Female,B.Sc,23,944251
QA Tester /Selenium,Noida,Male,BCA,16,1131786
Cloud Architect,Gurugram,Male,B.Com,20,1229396
Cloud Architect,Lucknow,Male,B.Tech/B.E.,20,2401878
DevOps Eng,Faridabad,Male,B.Com,20,888627
Data Architect,Guwahati,Male,Diploma,25,856561
Tapestry Manager of Configuration,Kanpur,Male,BCA,18,775746
QNXT Configuration SME,Bengaluru,Male,B.Tech/B.E.,14,1655336
"Sr. software engineer/.Net,Azure",Noida,Male,B.A,19,2394902
"Sr. software engineer/.Net,Azure",Diva - Maharashtra,Female,B.A,28,2045340
Facets SME,Gurugram,Female,B.A,14,2192007
Facets SME,New Delhi,Male,B.Tech/B.E.,21,2412119
Senior Business Analyst,Kolkata,Male,BCA,21,1378477
Claims SME,Visakhapatnam,Male,B.Sc,6,1445309
Sr. Data Ingestion/Analytics Engineer,Kolkata,Male,B.Tech/B.E.,11,2249198
Senior Data Program Manager,New Delhi,Male,BCA,8,2476813
IAM Architect,Kolkata,Female,B.Com,8,833057
Senior Analyst,Pune,Male,B.Com,11,1970834
Senior Analyst,Kolkata,Female,B.Tech/B.E.,9,1332952
Senior Software Engineer/.Net,New Delhi,Female,B.Tech/B.E.,12,1675448
Sr. Data Ingestion/Analytics Engineer,New Delhi,Female,B.Com,18,592503
"Sr. software engineer/.Net,Azure",New Delhi,Male,B.B.A/ B.M.S,15,878357
Cloud Architect,New Delhi,Male,BCA,20,2488793
Cloud Architect,Pune,Male,B.Tech/B.E.,10,2093180
"Sr. software engineer/.Net,Azure",Noida,Male,BCA,20,1700850
Sr. Data Platform Engineer,Kolkata,Female,B.B.A/ B.M.S,14,1054688
QNXT technical role,Jaipur,Male,B.Tech/B.E.,19,705349
QNXT technical role,Kolkata,Male,B.Tech/B.E.,6,812660
